audit_dimension,eligible_groups,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,equalised_odds_difference,tpr_gap,fpr_gap,assessment_status
financial_risk_group,2,0.5111455458169902,0.3565579599715534,0.2010689551339957,0.2010689551339957,0.2010689551339957,0.10797034291010196,Comparable
debtor_group,2,0.4248998664886516,0.4508986340762041,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.04588744588744588,Comparable
age_group,5,0.4703791469194313,0.37282780410742494,0.15121200461716044,0.15121200461716044,0.15121200461716044,0.053571428571428575,Comparable
scholarship_group,2,0.3345827086456772,0.3004179728317659,0.11449016100178888,0.11449016100178888,0.11449016100178888,0.08866519580805295,Comparable
gender_group,2,0.2322583713850837,0.5684489615554573,0.03576423576423582,0.05965303353363055,0.03576423576423582,0.05965303353363055,Comparable
displaced_group,2,0.1529473223271286,0.6833206082585735,0.04888148260364589,0.04888148260364589,0.04888148260364589,0.029497354497354508,Comparable
tuition_status_group,1,,,,,,,Insufficient comparable support
