audit_dimension,eligible_groups,recall_gap,false_negative_rate_gap,false_positive_rate_gap,precision_gap,alert_rate_gap,calibration_gap_range
financial_risk_group,2,0.2010689551339957,0.20106895513399578,0.10797034291010196,0.1545911047345767,0.5111455458169902,0.031229574461031806
debtor_group,2,0.16216216216216217,0.16216216216216217,0.04588744588744588,0.123489010989011,0.4248998664886516,0.01951144575153807
age_group,5,0.15121200461716044,0.15121200461716044,0.053571428571428575,0.2065913370998116,0.4703791469194313,0.0679677809914973
scholarship_group,2,0.11449016100178888,0.11449016100178892,0.08866519580805295,0.0636363636363636,0.3345827086456772,0.022005811387355106
displaced_group,2,0.04888148260364589,0.048881482603645915,0.029497354497354508,0.14112203585887806,0.1529473223271286,0.04993206629281066
gender_group,2,0.03576423576423582,0.03576423576423578,0.05965303353363055,0.05551275878671169,0.2322583713850837,0.021797248019689408
